date,content,label
2023/03/16,"Tesla is launching a new feature to help homeowners with rooftop solar to charge their Tesla vehicles with excess solar power.Over the last few years, Tesla has made it clear that it is more interested in controlling a power load rather than bidirectional charging, which has become popular in the EV industry.Earlier this month, the automaker made waves when it announced a plan to offer unlimited overnight charging for $30 per month. That’s all about controlling the load from electric vehicle charging.Now we have learned about Tesla going after controlling electric vehicle charging in another way: charging from excess solar power.A new update to the Tesla mobile app showed new code revealing a feature focused on allowing Tesla vehicles to charge from excess solar power:– String Changes pic.twitter.com/PpEhHtOl4JThe feature is not showing on the consumer-facing side of the app yet, but the code talks clearly about optimizing charging for owners with solar power:“Plug in your vehicle at home during the day to charge using the excess clean energy generated by your solar system.”It makes it sounds like you can link your car to a specific solar site, and when plugged in at the site, Tesla will monitor when the car can charge from excess solar – likely meaning that the car won’t be prioritized, but if there is excess solar, it will charge.This is a good move, long overdue.Here in Blighty we have been able to do this for ages - there is a company here called MyEnergi that makes the Zappi charger, this monitors your solar output and your consumption and permits you to charge your car with any excess, rather than exporting it to the grid, for which there is not a great payment available.  Far better to fill your car with free electricity than defer it to later and pay extra, at much higher prices than you usually get for export.Even if you charge cheaply overnight, cheap is still more than free.We can likely expect the new feature to be accessible in an upcoming Tesla mobile app update.There are not a lot of products that go better together than electric vehicles and solar power. Who wouldn’t want to be driving on sunshine?I think there’s still room to optimize the use of the two products together, and that’s a good example.Now is a great time to begin your solar journey so your system is installed in time for those sunny spring days. If you want to make sure you’re finding a trusted, reliable solar installer near you that offers competitive pricing, check out EnergySage. EnergySage is a free service that makes it easy for you to go solar – whether you’re a homeowner or renter. They have hundreds of pre-vetted solar installers competing for your business, ensuring you get high-quality solutions and save 20 to 30% compared to going it alone. Plus, it’s free to use and you won’t get sales calls until you select an installer and you share your phone number with them.Your personalized solar quotes are easy to compare online and you’ll get access to unbiased Energy Advisors to help you every step of the way. Get started here.",solar
2023/03/16,"The Moke, based on a post-war British jeep-like vehicle, has become an iconic and eye-catching little buggy over the years. Now the US-based MOKE America has opened up a rental option called WeMoke to make these weird little electric vehicles more accessible to anyone looking for a unique driving adventure.Mokes from MOKE America are street-legal four-seater vehicles with small wheels, a low floor height and an open jeep-like design. The airy setup makes them popular in sunny areas and beach communities, where they’re often used as local transportation.They may be fun, but they certainly aren’t cheap. Trying to buy a Moke in the US will set you back close to $22K before all the fancy options like bimini tops, wooden steering wheels, or other neat features. Plus there’s a nearly six-month lead time for them to make one for you. But if that price is a bit rich for your blood — especially for a glorified 25 mph buggy — then perhaps renting one is more your style?MOKE America’s sister company WeMoke is hoping that idea will catch on, and recently added several resort cities in Florida to its growing list of rental locations. The Sunshine State now joins Georgia, Tennessee, Hawaii, and New York as locations where you can hop in a Moke and cruise around to your heart’s content.The prices are a bit steeper than a typical rental car, starting at $125 per hour or $475 per day, but somehow I don’t think your homemade music video will look quite as good with a Hertz rental car rolling through it. Anyone renting a Moke is going for style points, not pure utilitarian transportation.The Moke vehicles obviously rely on their unique look and driving experience to command that high price, which is good because they can’t really rely on their performance.As minicars that fit into a legal designation known as low-speed vehicles (LSVs), these Mokes top out at 25 mph (45 km/h). They are allowed to operate on roads with speed limits posted up to 35 mph (56 km/h), but you won’t want to take them on the highway (nor are you even allowed to).For beach communities though, these small electric fun-mobiles might just be perfect. And with 40 miles (64 km) of range per charge, they’ve likely got enough battery for a whole day of fun in the city. They might not be fast, but they actually wound up at a race track in a surprising way. The company is providing a fleet of the little EVs in a partnership with South Florida Motorsports to serve as VIP transportation throughout the Miami International Autodrome, the location of the upcoming Formula 1 Miami Grand Prix. Last year there, 20 Mokes providing transportation around the race.As MOKE America founder Tod Rome explained:We were thrilled to be part of the inaugural big race weekend last year. And we’re even more excited to be back for future years. South Florida Motorsports, LLC has brought a first-class, luxury racing experience to South Florida and the attention of the world. Our open-air Mokes make people happy as they are driven around the campus, and we love putting smiles on people’s faces.Hmmm, I might just need to get myself into one of these Mokes soon to see what all the fuss is about. What do you say, should Electrek do a Moke video next?",solar
2023/03/15,"Dallas-based infrastructure manufacturer Arcosa (NYSE: ACA) said today that it’s received $750 million worth of wind turbine tower orders, so it’s building a new factory where it can make them.The majority of the company’s wind turbine tower orders will support wind energy projects currently under way in the US Southwest, so that’s why it will build its new factory in Belen, New Mexico, southwest of Albuquerque.As of 2022, New Mexico had 4,235 megawatts of installed wind capacity, which powers 35% of its electric grid.Arcosa plans to invest $55-60 million to buy a property in the Rio Grande Industrial Park. It will modify the existing plant and procure the necessary equipment for the new factory, which is expected to create around 250 jobs.Governor Michelle Lujan Grisham (D-NM) said:The transition to clean energy brings with it more diversified, higher-paying, and skilled jobs. Arcosa is repurposing an old factory for new investments in our state and our communities – this is a win-win.The $750 million worth of new orders are expected to be eligible for the Advanced Manufacturing Production tax credit included in the Biden administration’s Inflation Reduction Act. The state of New Mexico is contributing $4 million from its Local Economic Development Act job-creation fund to the fit-out of the new factory. The city of Belen is going to contribute to the project with Industrial Revenue Bonds.The project is expected to have an economic impact of $314 million over the next 10 years.Antonio Carrillo, Arcosa’s president and CEO, said:We look forward to expanding our manufacturing capacity to New Mexico, where market demand for new wind projects is robust. Our new facility will strengthen our position in the wind tower market and enable Arcosa to benefit from growing wind investment in the Southwest.The outlook for our wind business remains favorable, reflecting rising demand for access to clean energy. Since the passage of the Inflation Reduction Act, we have received wind tower orders in excess of $1.1 billion.Production of Arcosa’s New Mexico factory is expected to begin in mid-2024, and current orders will provide Arcosa’s new factory with a healthy level of backlog through 2028.Read more: Wind, solar, batteries make up 82% of 2023 utility-scale US pipelinePhoto: ArcosaUnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad.",solar
2023/03/15,"VW introduced its much anticipated affordable EV Wednesday, deemed the ID 2all concept with up to 450 km range (279 miles). After doubling down on its electric vehicle strategy with a new close to $200 billion investment (€180 billion) to accelerate digitalization and EV development over the next five years, VW is plowing ahead with a new EV concept.VW delivered over 570,000 EVs last year, maintaining its position as BEV market leader in Europe, yet the automaker believes it’s well positioned for future growth with several new vehicle releases on deck.To fend off incoming competition from Tesla, and many others, Volkswagen has introduced its economical electric vehicle, the ID 2all concept, that costs under $27,000 (€25,000). The ID 2all is as spacious as its Golf model and as inexpensive as the Polo sitting below the recently upgraded ID. 3, with up to 279 miles range (450 km) and several new features. CEO of Volkswagen Passenger Cars, Thomas Shafer, explains:We are transforming the company rapidly and fundamentally – with the clear objective of making Volkswagen a genuine Love Brand. The ID. 2all shows where we want to take the brand. We want to be close to the customer and offer top technology in combination with fantastic design. We are implementing the transformation at pace to bring electric mobility to the masses.VW’s affordable EV will be based on its new modular electric drive (MEB) platform, dubbed the MEB Entry Platform, and will be the first vehicle with front-wheel drive based on it. Initial plans called for Volkswagen’s ID. LIFE concept to be the first affordable EV based on the new platform designed for the smaller car segment, but those plans have seemingly been tossed to the side.The exterior takes inspiration from Volkswagen classics like the Beetle and Golf, previewing a new design language from the automaker. On the outside, the ID 2all features a “clear and powerful” stance with strong fender flares covering a wide track, long wheelbase, and short overhangs alongside a cleaned-up front end.Volkswagen recently brought back former Bentley and Audi designer Andreas Mindt as head of design for Volkswagen Passenger Cars, who says the VW ID 2all concept is based on three pillars – stability, likability, and enthusiasm.One of the most prominent elements of the new interior design is the C-pillar design developed for the first Golf model. As such, the interior features a spacious, high-quality appearance.The 12.9 touch display has a new menu structure with a separate air condition control panel below it. In addition, the new multifunction steering wheel is minimalist, with two thumb wheels and buttons on either side.Powered by a “powerful electric drive motor,” the ID. 2all with an output of 222 hp (166 kW) and 226 PS, achieving 0 to 60 mph (0-100 km/h) in under seven seconds.Volkswagen says its new electric car can be charged to 80% in less than 20 minutes, although specifics are not mentioned.Despite the ID 2all being deemed a concept vehicle, Volkswagen says it will unveil the production version of the ID 2all for all European markets in 2025 with a goal of starting it at less than 25,000 euros.The automaker now plans for at least one in every five vehicles sold globally to be electric by 2025, with the production version of the ID 2all being one of ten EVs launched by VW by 2026.This year VW will introduce the new ID. 3, the ID. Buzz, and the ID. 7, which will be followed up by a compact electric SUV in 2026.As always for german prices, 25.000€ is including 19% VAT (EU prices always include VAT, which range from 15..25%, 20% being most common), thus translated to USD sans VAT, that'd be ~22,200. And of course that's for the base model with guesstimated something like 300km range and stripped features, but hey.The magic is, that though it's 22 cm shorter than the ID.3 (and even a bit less high) it has ~100 liters more luggage space (490..1,330 vs 385..1,267, bigger number with folded seats), yet likely less space for the rear passengers. That's achieved via the front wheel drive rather than RWD for the ID.3, which might be a little of a downer to many, but to me it's a good trade - I love space efficiency! To save length, it doesn't have a frunk, but it does have a big space below the trunk plus a ~50 liters space below the rear seats. And they can, as from the pics, fold completely flat - and the right front seat can also be folded flat, giving way for cargo of up to 2,20 meters length 💪 This is definitely my car after my Ioniq EV I bought in 2018 when I plan to replace it in 2028 🤩 (and it'll have matured till then)Btw @Peter ""222 hp (166 kW) and 226 PS"" are all the same figure with different units, PS being ""Pferdestärken"" which is the same as horsepowers, only that (DIN) PS is measured differently and has a different factor to kW than (SAE) hp.Unfortunately, it doesn’t look like Volkswagen has plans to bring the ID 2all concept to the US. The good news, however, is that VW is planning to bring it to production. The real question will be: Can they produce it for the price they are saying? Or perhaps, more importantly, can they produce it profitably at that price?An under $27k, a good-looking electric vehicle with nearly 300-miles range from the VW brand would, in my opinion, sell well. ",solar
2023/03/16,"Maerdang hydropower station in China, the “highest-altitude facility of its kind,” is expected to begin operations in March 2024.The state-run China Daily reports that Maerdang, which is currently under construction in Qinghai province, is at 5,000 meters (16,404 feet) above sea level, on the upper reaches of the Yellow River. For perspective, the peak of Mount Kilimanjaro in Tanzania stands at 5,895 meters (19,341 feet) above sea level.Maerdang’s operator, China Energy, says that the hydropower station will have a total installed capacity of 2.2 million kilowatts, and it’s expected to generate an average of more than 7.3 billion kilowatt-hours of electricity per year once it’s up and running. It’s the company’s first integrated renewable facility to include hydropower, solar, and energy storage.China Energy says Maerdang will cut 2.56 million metric tons of standard coal equivalent consumption and 8.16 million tons of carbon dioxide emissions.China is the world leader in renewable energy, yet it’s also the world’s largest coal miner and consumer. Its coal output rose by 5.8% in the first two months of 2023 from the same period a year earlier, government data showed yesterday. Reuters explains why: “A sharp increase in global coal prices and disruption of energy supply chains following Russia’s invasion of Ukraine has prompted Beijing to increasingly prioritize energy security.”Read more: Check out the world’s second-largest hydropower stationPhotos: China News ServiceUnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad.",solar
2023/03/16,"PivotGen repowers aging wind farms, and together with its partner ACEN, it’s acquiring eight wind farms in Texas to give them a new lease on life. Chicago-based PivotGen, which has to date repowered 2,176 MW of wind, and renewable energy platform ACEN have formed a partnership called UPC Power Solutions. The new partnership has signed an agreement to buy the Texas wind farms from energy storage developer Glidepath, and it will repair, upgrade, and repower them.Electrek spoke with Tim Rosenzweig, CEO and cofounder of PivotGen, about how old wind farms are repowered, and what UPC Power Solution’s plans are going forward.Electrek: Tell us about the Texas wind farms that you’re buying.Tim Rosenzweig: They’re eight projects in the Texas Panhandle. Glidepath, who is selling the wind farms to us, has pivoted their focus toward energy storage. The wind farms range in size from 10 to 68 MW. They’re clustered within a drive of each other. They’re selling into the network there, and the turbines are made by Suzlon. The first wind farms went online between 2006 to 2009. Our repowering plan is to get them fully functional and optimized within six to 12 months. Electrek: How does a wind farm refurbishment work, exactly?Tim Rosenzweig: Think of it like fixing a car: You have different components, and there’s a supply chain. OEMs get their stuff from other people. We’re doing that: going to suppliers and getting those parts. There’s a robust international supply chain for wind turbines.There’s a whole spectrum of stuff you can do. Our plan is to go in, project by project, and plan what makes the most sense. Some require lots of new components, and others require less refurbishment. Some were built at the same time the iPhone came out, and think about how much the iPhone has improved. We increase their megawatt hours through better efficiency. A lot of the wind power industry is focused on growth, and that’s great, but after 20 years, we don’t want the older ones to just fall off the radar. We want to support these local communities with service jobs instead of tearing them down. And we’ve picked up some great technical guys from GE to figure out the optimal plan on a turbine-by-turbine basis.Employment-wise, we like to retain the people currently working on the wind farms, and we’ll bring in expertise where needed. We’re also looking to put in innovative technologies to help wind power be better. Electrek: Once you acquire the wind farms, do you keep them or sell them to someone else? Tim Rosenzweig: We’re going to look to own and operate. The benefit of the [Biden administration’s] recent Inflation Reduction Act is that it extended the window for wind and solar to get built. It also has a production tax credit transferability mechanism that will enable new capital structures, so it opens the door for this type of project.Read more: A Danish wind turbine giant just discovered how to recycle all bladesPhoto: wind-turbine-models.comUnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad.",solar
2023/03/15,"Dallas-based infrastructure manufacturer Arcosa (NYSE: ACA) said today that it’s received $750 million worth of wind turbine tower orders, so it’s building a new factory where it can make them.The majority of the company’s wind turbine tower orders will support wind energy projects currently under way in the US Southwest, so that’s why it will build its new factory in Belen, New Mexico, southwest of Albuquerque.As of 2022, New Mexico had 4,235 megawatts of installed wind capacity, which powers 35% of its electric grid.Arcosa plans to invest $55-60 million to buy a property in the Rio Grande Industrial Park. It will modify the existing plant and procure the necessary equipment for the new factory, which is expected to create around 250 jobs.Governor Michelle Lujan Grisham (D-NM) said:The transition to clean energy brings with it more diversified, higher-paying, and skilled jobs. Arcosa is repurposing an old factory for new investments in our state and our communities – this is a win-win.The $750 million worth of new orders are expected to be eligible for the Advanced Manufacturing Production tax credit included in the Biden administration’s Inflation Reduction Act. The state of New Mexico is contributing $4 million from its Local Economic Development Act job-creation fund to the fit-out of the new factory. The city of Belen is going to contribute to the project with Industrial Revenue Bonds.The project is expected to have an economic impact of $314 million over the next 10 years.Antonio Carrillo, Arcosa’s president and CEO, said:We look forward to expanding our manufacturing capacity to New Mexico, where market demand for new wind projects is robust. Our new facility will strengthen our position in the wind tower market and enable Arcosa to benefit from growing wind investment in the Southwest.The outlook for our wind business remains favorable, reflecting rising demand for access to clean energy. Since the passage of the Inflation Reduction Act, we have received wind tower orders in excess of $1.1 billion.Production of Arcosa’s New Mexico factory is expected to begin in mid-2024, and current orders will provide Arcosa’s new factory with a healthy level of backlog through 2028.Read more: Wind, solar, batteries make up 82% of 2023 utility-scale US pipelinePhoto: ArcosaUnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad.",solar
2023/03/14,"Wind turbine rotor firm Gulf Wind Technology and Shell New Energies US will together develop hurricane-proof wind turbines unique to the Gulf of Mexico.Shell has committed $10 million to create the Shell Gulf Wind Technology Accelerator program with Louisiana-based Gulf Wind Technology, which specializes in developing hurricane-proof wind turbine technology.The accelerator program aims to develop, test, and deploy a Gulf of Mexico-specific demonstrator turbine as early as 2024.In addition to its R&D work on the hurricane-resistant turbine, the Shell Gulf Wind Technology Accelerator will also launch an education and training facility to develop a workforce for the region’s new offshore wind industry.  James Martin, CEO of Gulf Wind Technology, explains why the Gulf of Mexico requires a unique approach when it comes to the development of its offshore wind industry:Wind resources in the Gulf region are more variable than what you find on the East Coast where most US offshore wind development activity is currently happening.Seasonal hurricane conditions and moderate average wind speeds create a situation that requires a novel approach to the application of technology and the framework in which it is both developed and demonstrated. The program has been specifically created to address and fulfil this need and enable next steps for the region and for the industry.Louisiana has a 5 gigawatts (GW) of offshore wind target by 2035, and late last month, the US Department of the Interior proposed the first-ever offshore wind lease sale in the Gulf of Mexico.That followed the Biden administration’s announcement in July 2022 that it would pursue the development of offshore wind energy in the Gulf, which is already a hub for oil and gas production.The Proposed Sale Notice announced includes a 102,480-acre area offshore Lake Charles, Louisiana, and two areas offshore Galveston, Texas, one comprising 102,480 acres and the other comprising 96,786 acres. These areas have the potential to power almost 1.3 million homes with clean energy.UnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad. ",solar
2023/03/14,"In an agrivoltaic study, UCLA engineers put a semi-transparent solar roof on a greenhouse, and some unexpected things happened with both the roof and the plants.The researchers at UCLA Samueli School of Engineering designed semi-transparent organic solar panels that can absorb energy from sunlight without blocking the light that the plants need. The study, “Achieving sustainability of greenhouses by integrating stable semi-transparent organic photovoltaics,” was published last week in Nature Sustainability. The research team’s organic solar cells rely on carbon-based materials, instead of inorganic substances used in conventional solar devices. The team incorporated a layer of L-glutathione, a tripeptide molecule made up of three amino acids: glutamine, cysteine, and glycine. It’s an antioxidant found naturally in the human body, and it’s sold over the counter as a dietary supplement to support overall health and well-being.The team found that adding L-glutathione extended the solar cells’ lifetime, improved their efficiency, and still allowed sunlight to reach plants in the greenhouse prototype, which was about the size of a small dollhouse.Lead scientist Yang Yang explained:Organic materials are uniquely suitable for agrivoltaics because of their light-absorption selectivity. The main drawback that has prevented their widespread use up to now is their lack of stability.Organic solar cells tend to degrade more quickly than inorganic solar cells because sunlight causes them to oxidize and thus lose electrons. The researchers found that the additional L-glutathione layer stopped the other materials in the solar cell from oxidizing. That in turn resulted in the organic cells maintaining more than 80% efficiency after 1,000 hours of continuous use — as opposed to less than 20% without the added layer, according to the UCLA Samueli newsroom.Researchers tracked the growth of such crops as wheat, mung beans, and broccoli in two different experiments. In one, they used a transparent glass roof with segments of inorganic solar cells on the greenhouse, and in another, the roof was made entirely from semi-transparent organic solar cells. The crops in the greenhouse with the organic solar roof grew more than the crops in the regular greenhouse. The scientists believe that happened because the L-glutathione layer blocked both ultraviolet rays that can inhibit plant growth and infrared rays that can cause greenhouses to overheat, thus causing the plants to need more water.Lead author Yepin Zhao said:We didn’t expect the organic solar cells to outperform a conventional glass-roof greenhouse.But we repeated the experiments multiple times with the same results and after further research and analysis, we discovered that plants don’t need as much sunlight to grow as we’d originally thought. In fact, too much sun exposure can do more harm than good, especially in climates such as California’s, where sunlight is more abundant.Would be interesting to see combined with other features like LED grow lights powered by battery packs (charged by the PV) to extend light to optimum, increased CO2 to the optimum, optimal hydroponics or drip, etc. The whole system might be net more efficient than versions that don’t make full use of natural sunlight. The research team has now established a startup at UCLA that aims to scale up production of the organic solar cells for industrial use, and they’re hoping to commercialize greenhouses with organic solar cell roofs in the future.Read more: These new vertical solar systems are specially designed for farmsPhoto: Yang Yang Laboratory/UCLAUnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad. ",solar
2023/03/13,"Thin-film solar panel maker Ascent Solar Technologies announced today that it’s going to repurpose its Thornton, Colorado, factory to accelerate industrial-scale commercialization of perovskite solar modules.Perovskite solar cells use a thin film of perovskite to harvest light, and they have the potential to be a low-cost, power-conversion-efficient alternative to traditional silicon-based solar cells.However, perovskite solar cells still have some stability, environmental, and scalability issues, but efforts to work out the kinks in recent years by such research groups as the National Renewable Energy Laboratory have delivered promising results.So the folks at Ascent have now decided that it’s time to take the next step forward, dedicating its Thornton factory to the development of perovskite solar cell manufacturing.Ascent’s lightweight and flexible solar modules have been used in such applications as portable charging, unmanned aerial vehicles, and building-integrated photovoltaics, and it’s now going to convert its patent-pending perovskite solar technology to industrial scale.The factory, which Ascent calls a “Perovskite Center of Excellence,” will feature R&D, manufacturing, and operations along with $30 million of industrial equipment.Last week, Ascent announced that it’s signed an agreement to acquire manufacturing assets from a “leading European manufacturer of thin-film solar technology and a worldwide license of its intellectual property portfolio” for $5 million.Rather than the author simply rewriting the press release, it would have been useful to state the problems with thin film perovskite panels. That way the readers would learn something, for example why it’s not appropriate to wrap their cars in the stuff. It’s not sufficient to state that the technology has stability, environmental, and scalability issues. The author that they are being paid to research, not simply rewrite already existing material. Jeffrey Max, president and CEO of Ascent Solar, said, “We’re fortunate that we have a manufacturing facility of this scope that we can dedicate to developing and delivering innovative Perovskite solar PV at scale… When translated to industrial scale, the efficiency gains we’ve recorded in the lab will be a game changer for the solar industry.”Read more: Biden administration announces $56 million for US solar manufacturingPhoto: Ascent Solar/TwitterUnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad.",solar
